iter	Passed	Remaining
0	522	1045017
1	1063	1062670
2	1487	990359
3	2047	1021664
4	2578	1028819
5	3085	1025486
6	3614	1029038
7	4297	1070031
8	4818	1066065
9	5370	1068733
10	6082	1099913
11	6566	1087862
12	7142	1091707
13	7592	1077011
14	8087	1070271
15	8593	1065594
16	9053	1056085
17	9547	1051304
18	10045	1047405
19	10530	1042560
20	10983	1035055
21	11486	1032758
22	11913	1024021
23	12441	1024383
24	12984	1025755
25	13519	1026414
26	14014	1024105
27	14498	1021075
28	14976	1017895
29	15465	1015594
30	15951	1013159
31	16438	1010942
32	16937	1009567
33	17421	1007380
34	17899	1004901
35	18386	1003079
36	18805	997730
37	19275	995215
38	19749	993023
39	20237	991642
40	20661	987237
41	21221	989338
42	21696	987428
43	22187	986352
44	22685	985553
45	23176	984498
46	23596	980515
47	24061	978492
48	24557	977793
49	25088	978441
50	25675	981220
51	26216	982104
52	26737	982240
53	27252	982110
54	27819	983805
55	28368	984783
56	28807	981984
57	29280	980406
58	29884	983138
59	30353	981445
60	30855	980799
61	31321	979056
62	31799	977694
63	32299	977057
64	32804	976579
65	33292	975558
66	33768	974240
67	34250	973122
68	34663	970068
69	35174	969814
70	35719	970455
71	36234	970278
72	36759	970342
73	37250	969508
74	37750	968921
75	38241	968112
76	38749	967722
77	39229	966651
78	39755	966704
79	40267	966422
80	40785	966272
81	41252	964910
82	41762	964574
83	42260	963946
84	42779	963799
85	43251	962600
86	43749	961988
87	44251	961464
88	44761	961104
89	45262	960575
90	45807	960958
91	46335	960959
92	46870	961106
93	47404	961202
94	47872	959965
95	48423	960406
96	49052	962339
97	49606	962770
98	50108	962183
99	50629	961966
100	51183	962357
101	51746	962891
102	52267	962632
103	52817	962898
104	53357	962971
105	53895	963004
106	54442	963182
107	55002	963555
108	55517	963144
109	56090	963742
110	56647	964020
111	57193	964112
112	57755	964468
113	58313	964736
114	58952	966306
115	59526	966794
116	60033	966184
117	60517	965203
118	60990	964064
119	61492	963389
120	61996	962736
121	62512	962290
122	63017	961660
123	63506	960797
124	64017	960263
125	64504	959372
126	65047	959323
127	65531	958403
128	66033	957735
129	66532	957049
130	67023	956239
131	67526	955598
132	68050	955264
133	68542	954477
134	69039	953767
135	69511	952710
136	69995	951840
137	70470	950835
138	71001	950600
139	71500	949939
140	71991	949164
141	72497	948598
142	72995	947926
143	73526	947674
144	74044	947259
145	74522	946338
146	74972	945057
147	75476	944475
148	75970	943765
149	76468	943114
150	76952	942282
151	77459	941747
152	77943	940924
153	78455	940441
154	78949	939753
155	79420	938785
156	79914	938103
157	80385	937149
158	80904	936756
159	81409	936209
160	81899	935490
161	82430	935227
162	82942	934757
163	83441	934138
164	83963	933777
165	84464	933179
166	84949	932405
167	85462	931953
168	85992	931669
169	86502	931175
170	87006	930618
171	87522	930184
172	88013	929483
173	88512	928873
174	89048	928647
175	89547	928033
176	90075	927728
177	90577	927149
178	91083	926606
179	91571	925888
180	92029	924874
181	92565	924634
182	93084	924229
183	93291	920746
184	93786	920117
185	94273	919418
186	94726	918395
187	95240	917951
188	95750	917482
189	96261	917021
190	96673	915610
191	97164	914963
192	97698	914717
193	98155	913756
194	98656	913201
195	99129	912395
196	99617	911724
197	100136	911340
198	100585	910326
199	101122	910098
200	101627	909591
201	102150	909236
202	102665	908812
203	103167	908279
204	103705	908057
205	104215	907583
206	104723	907100
207	105197	906313
208	105666	905493
209	106234	905519
210	106786	905410
211	107185	903996
212	107696	903539
213	108171	902774
214	108736	902768
215	109331	902993
216	109892	902937
217	110404	902480
218	110953	902322
219	111486	902030
220	112018	901721
221	112545	901374
222	113095	901217
223	113678	901308
224	114261	901397
225	114822	901307
226	115377	901163
227	115967	901293
228	116478	900802
229	116951	900018
230	117480	899664
231	117974	899050
232	118521	898832
233	119056	898520
234	119599	898271
235	119829	895671
236	120381	895497
237	120899	895064
238	121443	894823
239	121919	894075
240	122461	893818
241	122972	893327
242	123446	892574
243	123935	891931
244	124459	891539
245	124979	891114
246	125466	890453
247	125928	889620
248	126401	888872
249	126915	888407
250	127469	888221
251	127957	887579
252	128448	886957
253	128928	886258
254	129427	885691
255	129946	885257
256	130423	884547
257	130920	883964
258	131402	883288
259	131869	882514
260	132387	882073
261	132809	881001
262	133268	880180
263	133792	879790
264	134267	879073
265	134774	878570
266	135259	877923
267	135735	877217
268	136246	876741
269	136750	876215
270	137219	875473
271	137746	875092
272	138233	874468
273	138682	873600
274	139217	873272
275	139658	872360
